시설,관할구청,위치,전화번호
아이러브펫동물병원,은평구,서울 은평구 통일로 1050 롯데마트 은평점 2층,02-6975-5253
새은평동물의료센터,은평구,서울 은평구 서오릉로 80,02-358-7566
오즈동물병원,서대문구,"서울 서대문구 증가로 150 상가동 B209,B210호",02-305-5975
프란다스동물병원,서대문구,"서울 서대문구 거북골로 120 (남가좌동, DMC센트레빌)",02-309-8275
홍익종합동물병원,마포구,마포구 독막로 45,02-325-2026
푸른숲동물병원,마포구,서울 마포구 월드컵로 98,02-335-7577
민병철동물병원,양천구,양천구 남부순환로 347,02-2695-1231
우신동물병원,양천구,서울 양천구 중앙로 295 (신월동),02-2693-8883
닥터펫동물병원,양천구,서울 양천구 목동서로 170 홈플러스2층,02-2643-0283
공원옆동물병원,양천구,서울 양천구 목동서로 349 목동 센트럴프라자 104호,02-2650-8275
송정동물메디컬센터,강서구,서울 강서구 공항대로 39,02-2661-0530
스마일동물병원,강서구,서울 강서구 수명로 74 발산시티타워 102호,02-2667-5666
서울플러스 종합동물병원,강서구,서울 강서구 등촌로 55,02-2652-7515
한샘동물병원,구로구,"서울 구로구 경인로40길 25 (개봉동, 청실아파트)",02-2681-7585
굿모닝동물병원,구로구,서울 구로구 개봉로 121,02-2060-8673
캥거루동물병원,구로구,구로구 오류로 55,02-2066-2579
다나은동물병원,구로구,서울 구로구 신도림로 7 110호,02-2672-7582
벨라동물병원,구로구,구로구 구로중앙로34길 30,02-859-8775
금나래동물병원,금천구,금천구 벚꽃로 30 롯데캐슬2차 211호,02-809-0075
쿨펫동물병원,금천구,서울 금천구 두산로 71 (독산동)3층,02-861-2000
금천24시K동물의료센터,금천구,"서울 금천구 시흥대로 251 (시흥동, 도일산호시티빌)",02-808-2475
금천종합동물병원,금천구,서울 금천구 독산로 188 (독산동),02-894-8085
노아동물병원,금천구,서울 금천구 금하로 745 (시흥동),02-805-4758
조정연동물병원,금천구,서울 금천구 금하로 679 (시흥동),02-806-1541
제일종합동물병원,금천구,서울 금천구 독산로 58 (시흥동),02-894-3030
은행나무동물병원,금천구,서울 금천구 금하로 694 (시흥동),02-804-0975
신길온동물병원,영등포구,서울 영등포구 신풍로 77 상가동C119호,02-848-7975
왈츠동물병원,영등포구,서울 영등포구 가마산로 324 1층,02-834-7582
우신종합동물병원,영등포구,서울 영등포구 신길로 168 (신길동),02-836-6509
아람동물병원,영등포구,서울 영등포구 도신로 225-1 1층,02-835-7975
굿파파 24시 반려동물 건강검진센터,동작구,동작구 사당로 289,02-593-8275
디아크동물종합병원,동작구,서울 동작구 장승배기로27길 18 1층,02-816-7582
양지동물병원,관악구,서울 관악구 남부순환로191길 6,02-874-3535
세계로동물병원,관악구,관악구 남부순환로 1497,02-868-3931
러브펫종합동물병원,관악구,서울 관악구 남부순환로 1429 (신림동),02-837-8875
로잔동물의료센터,관악구,서울 관악구 관악로29길 3 (봉천동),02-872-7588
형제동물의료센터,관악구,서울 관악구 남부순환로 1747-1 (봉천동),02-889-0575
한동물병원,서초구,서울 서초구 동산로 66,02-577-3690
내방동물병원,서초구,서울 서초구 서초대로 108 2층,02-3473-8274
메디펫동물병원,서초구,서울 서초구 효령로 384 1층,02-586-7501
위너스동물병원,강남구,강남구 역삼로 235,02-568-7975
우리동생동물병원 강남청담점,강남구,서울 강남구 학동로81길 9 라테라스청담 103호,02-335-3333
논현동물병원,강남구,서울 강남구 강남대로118길 47 (논현동)1층,02-3442-3785
개포동물병원,강남구,"서울 강남구 개포로 512, 1층",02-3412-7582
펫토피아동물병원,송파구,서울 송파구 오금로 203,02-414-0075
송파원동물병원,송파구,서울 송파구 백제고분로 432 2층,02-419-7571
송파동물의료센터,송파구,서울 송파구 송파대로 378,02-424-3662
25시 동물의료센터,송파구,서울 송파구 삼전로 80,02-419-1351
송이종합동물병원,송파구,서울 송파구 가락로 210,02-415-7114
가람동물병원,강동구,강동구 성내로 36,02-484-5502
로얄동물메디컬센터 강동,강동구,서울 강동구 천호대로 1171 (길동),02-457-0075
시온동물병원,강동구,강동구 천호대로 1057,02-476-8275
쥬라기동물병원,강동구,서울 강동구 올림픽로 703 (천호동),02-488-7463
